words,sub_category,main_category
drawn toward,love,pleasant
playful,alive,pleasant
frisky,alive,pleasant
weary,indifferent,unpleasant
offended,hurt,unpleasant
sore,angry,unpleasant
accepting,open,pleasant
crushed,hurt,unpleasant
menaced,afraid,unpleasant
in a stew,helpless,unpleasant
nonchalant,indifferent,unpleasant
aching,hurt,unpleasant
lonely,sad,unpleasant
distrustful,confused,unpleasant
optimistic,alive/positive,pleasant
disillusioned,confused,unpleasant
uneasy,confused,unpleasant
calm,good,pleasant
unbelieving,confused,unpleasant
ecstatic,happy,pleasant
pained,hurt/sad,unpleasant
boiling,angry,unpleasant
diminished,depressed,unpleasant
animated,alive,pleasant
frustrated,helpless,unpleasant
pleased,good,pleasant
desolate,sad,unpleasant
encouraged,good,pleasant
brave,positive,pleasant
fortunate,happy,pleasant
admiration,love,pleasant
liberated,alive,pleasant
bad,depressed,unpleasant
distressed,helpless,unpleasant
gleeful,happy,pleasant
easy,open,pleasant
anguish,sad,unpleasant
hateful,angry,unpleasant
irritated,angry,unpleasant
abominable,depressed,unpleasant
insensitive,indifferent,unpleasant
frightened,afraid,unpleasant
victimized,hurt,unpleasant
relaxed,good,pleasant
surprised,good,pleasant
kind,open,pleasant
shy,confused,unpleasant
sure,strong,pleasant
serene,good,pleasant
despair,helpless,unpleasant
reliable,open,pleasant
tender,love,pleasant
empty,helpless,unpleasant
cross,angry,unpleasant
disinterested,indifferent,unpleasant
sunny,happy,pleasant
tense,confused,unpleasant
hostile,angry,unpleasant
dull,indifferent,unpleasant
tenacious,strong,pleasant
snoopy,interested,pleasant
suspicious,afraid,unpleasant
sympathy,love,pleasant
lucky,happy,pleasant
daring,positive,pleasant
fuming,angry,unpleasant
tearful,sad,unpleasant
lousy,depressed,unpleasant
passionate,love,pleasant
despicable,depressed,unpleasant
certain,good/strong,pleasant
touched,love,pleasant
heartbroken,hurt,unpleasant
reserved,indifferent,unpleasant
wronged,hurt,unpleasant
cowardly,afraid,unpleasant
excited,positive,pleasant
provoked,angry,unpleasant
tormented,hurt,unpleasant
indignant,angry,unpleasant
forced,helpless,unpleasant
scared,afraid,unpleasant
festive,happy,pleasant
threatened,afraid,unpleasant
tortured,hurt,unpleasant
cold,indifferent,unpleasant
jubilant,happy,pleasant
close,love,pleasant
earnest,positive,pleasant
considerate,love,pleasant
important,happy,pleasant
incapable,helpless,unpleasant
lifeless,indifferent,unpleasant
merry,happy,pleasant
warm,love,pleasant
restless,afraid,unpleasant
understanding,open,pleasant
disappointed,depressed,unpleasant
useless,helpless,unpleasant
preoccupied,indifferent,unpleasant
worried,afraid,unpleasant
enthusiastic,positive,pleasant
aggressive,angry,unpleasant
unsure,confused,unpleasant
hardy,strong,pleasant
cheerful,happy,pleasant
repugnant,depressed,unpleasant
sympathetic,open,pleasant
dejected,hurt,unpleasant
joyous,happy,pleasant
mournful,sad,unpleasant
peaceful,good,pleasant
unpleasant,angry,unpleasant
re-enforced,positive,pleasant
lost,confused,unpleasant
appalled,hurt,unpleasant
miserable,depressed,unpleasant
quiet,good,pleasant
impulsive,alive/strong,pleasant
timid,afraid,unpleasant
perplexed,confused,unpleasant
loved,love,pleasant
stupefied,confused,unpleasant
woeful,helpless,unpleasant
quaking,afraid,unpleasant
guilty,depressed,unpleasant
challenged,positive,pleasant
humiliated,hurt,unpleasant
uncertain,confused,unpleasant
offensive,angry,unpleasant
inspired,positive,pleasant
unique,strong,pleasant
dynamic,strong,pleasant
ashamed,depressed,unpleasant
insulting,angry,unpleasant
discouraged,depressed,unpleasant
inquisitive,interested,pleasant
satisfied,open,pleasant
resentful,angry,unpleasant
fearful,afraid,unpleasant
bold,positive,pleasant
annoyed,angry,unpleasant
determined,positive,pleasant
intent,positive,pleasant
blessed,good,pleasant
nosy,interested,pleasant
eager,positive,pleasant
at ease,good,pleasant
concerned,interested,pleasant
a sense of loss,depressed,unpleasant
deprived,hurt,unpleasant
courageous,alive,pleasant
grieved,sad,unpleasant
sorrowful,sad,unpleasant
paralyzed,helpless,unpleasant
amazed,open,pleasant
intrigued,interested,pleasant
loving,love,pleasant
anxious,afraid/positive,pleasant/unpleasant
upset,angry/confused,unpleasant
alarmed,afraid,unpleasant
misgiving,confused,unpleasant
infuriated,angry,unpleasant
powerless,depressed,unpleasant
inferior,helpless,unpleasant
vulnerable,helpless,unpleasant
panic,afraid,unpleasant
skeptical,confused,unpleasant
in despair,depressed,unpleasant
detestable,depressed,unpleasant
comfortable,good,pleasant
wonderful,alive,pleasant
devoted,love,pleasant
unhappy,sad,unpleasant
neutral,indifferent,unpleasant
spirited,alive,pleasant
comforted,love,pleasant
rebellious,strong,pleasant
sensitive,love,pleasant
shaky,afraid,unpleasant
interested,open,pleasant
reassured,good,pleasant
provocative,alive,pleasant
absorbed,interested,pleasant
great,happy,pleasant
afflicted,hurt,unpleasant
affected,interested,pleasant
dismayed,sad,unpleasant
alone,helpless,unpleasant
confident,open/positive,pleasant
terrible,depressed,unpleasant
content,good,pleasant
overjoyed,happy,pleasant
pathetic,helpless,unpleasant
sulky,depressed,unpleasant
inflamed,angry,unpleasant
grief,sad,unpleasant
hopeful,positive,pleasant
free,alive/open/strong,pleasant
affectionate,love,pleasant
dominated,helpless,unpleasant
thankful,happy,pleasant
fatigued,helpless,unpleasant
indecisive,confused,unpleasant
alienated,hurt,unpleasant
disgusting,depressed,unpleasant
elated,happy,pleasant
enraged,angry,unpleasant
glad,happy,pleasant
wary,afraid,unpleasant
worked up,angry,unpleasant
energetic,alive,pleasant
thrilled,alive,pleasant
incensed,angry,unpleasant
terrified,afraid,unpleasant
tragic,helpless,unpleasant
desperate,sad,unpleasant
nervous,afraid,unpleasant
fascinated,interested,pleasant
injured,hurt,unpleasant
clever,good,pleasant
gay,happy,pleasant
delighted,happy,pleasant
engrossed,interested,pleasant
curious,interested,pleasant
bored,indifferent,unpleasant
doubtful,afraid/confused,unpleasant
bitter,angry,unpleasant
rejected,hurt,unpleasant
free and easy,good,pleasant
bright,good,pleasant
agonized,hurt,unpleasant
embarrassed,confused,unpleasant
keen,positive,pleasant
attracted,love,pleasant
dissatisfied,depressed,unpleasant
hesitant,confused,unpleasant
receptive,open,pleasant
pessimistic,confused/sad,unpleasant
secure,strong,pleasant
